Year,Country Name,Indicator Name,Indicator Code,SOURCE_NOTE,SOURCE_ORGANIZATION,Region,IncomeGroup,Value
2000,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,10.894
2001,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,4.528494869
2001,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,13.0
2001,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,10.65
2002,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,9.149425086
2002,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,11.7
2002,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,10.64
2003,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,13.2075861
2003,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,12.6
2003,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,11.17
2004,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,19.07367227
2004,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,11.1
2004,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,10.07
2005,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,21.02274725
2005,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,10.0
2005,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,10.55
2006,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,28.17838018
2006,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,8.3
2006,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,9.69
2007,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,30.88
2007,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,7.9
2007,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,9.28
2008,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,33.83
2008,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,6.5
2008,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,8.27
2009,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,39.22
2009,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,6.1
2009,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,9.42
2010,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,40.65
